pathway,Biodomain,biodomain_top5
GOCC_BOX_H_ACA_RNP_COMPLEX,unknown,"RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Synapse"
GOCC_BOX_H_ACA_TELOMERASE_RNP_COMPLEX,unknown,"RNA Spliceosome, Proteostasis, DNA Repair, Epigenetic, Autophagy"
GOCC_TETRASPANIN_ENRICHED_MICRODOMAIN,Lipid Metabolism,"Structural Stabilization, Endolysosome, Immune Response, Synapse, Lipid Metabolism"
GOCC_CYTOPLASMIC_SIDE_OF_APICAL_PLASMA_MEMBRANE,Structural Stabilization,"Structural Stabilization, Synapse, Vasculature, Immune Response, Endolysosome"
GOCC_SYNAPTONEMAL_STRUCTURE,Synapse,"Synapse, Structural Stabilization, Myelination, RNA Spliceosome, Proteostasis"
GOCC_POSTSYNAPTIC_CYTOSOL,Synapse,"Synapse, Structural Stabilization, Proteostasis, Immune Response, Oxidative Stress"
GOCC_NUCLEOLAR_EXOSOME_RNASE_COMPLEX,unknown,"RNA Spliceosome, Proteostasis, DNA Repair, Autophagy, Epigenetic"
GOCC_CHAPERONE_COMPLEX,Proteostasis,"Proteostasis, Autophagy, Endolysosome, Synapse, Structural Stabilization"
GOCC_CENTRIOLAR_SUBDISTAL_APPENDAGE,unknown,"Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Myelination, Proteostasis"
GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX,Proteostasis,"Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization"
GOCC_PEPTIDASE_COMPLEX,unknown,"Proteostasis, Autophagy, Apoptosis, Endolysosome, DNA Repair"
GOCC_ENDOPEPTIDASE_COMPLEX,unknown,"Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization"
GOCC_MITOTIC_SPINDLE_MIDZONE,Cell Cycle,"Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Apoptosis, Myelination"
GOMF_DNA_SECONDARY_STRUCTURE_BINDING,Epigenetic,"DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Oxidative Stress"
GOMF_FOUR_WAY_JUNCTION_DNA_BINDING,DNA Repair,"DNA Repair, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Proteostasis"
GOMF_ADENYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY,unknown,"Synapse, Immune Response, Mitochondrial Metabolism, Proteostasis, Structural Stabilization"
GOMF_MRNA_REGULATORY_ELEMENT_BINDING_TRANSLATION_REPRESSOR_ACTIVITY,Proteostasis,"RNA Spliceosome, Proteostasis, Epigenetic, Synapse, Autophagy"
GOMF_RNA_POLYMERASE_II_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_BINDING,unknown,"RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Synapse"
GOMF_TFIIB_CLASS_TRANSCRIPTION_FACTOR_BINDING,unknown,"RNA Spliceosome, Epigenetic, Proteostasis, Synapse, Autophagy"
GOMF_BASAL_TRANSCRIPTION_MACHINERY_BINDING,unknown,"RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Synapse"
GOMF_TRANSCRIPTION_COREGULATOR_BINDING,unknown,"Epigenetic, RNA Spliceosome, Proteostasis, Synapse, Autophagy"
GOMF_N_ACETYLGLUCOSAMINE_6_O_SULFOTRANSFERASE_ACTIVITY,unknown,"Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis"
GOMF_LIPOPOLYSACCHARIDE_BINDING,Immune Response,"Immune Response, Oxidative Stress, Endolysosome, Lipid Metabolism, Vasculature"
GOMF_ALPHA_N_ACETYLGALACTOSAMINIDE_ALPHA_2_6_SIALYLTRANSFERASE_ACTIVITY,unknown,"Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Immune Response"
GOMF_ATPASE_ACTIVATOR_ACTIVITY,unknown,"Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome"
GOMF_DNA_HELICASE_ACTIVITY,unknown,"DNA Repair, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Epigenetic"
GOMF_MINOR_GROOVE_OF_ADENINE_THYMINE_RICH_DNA_BINDING,unknown,"DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Oxidative Stress"
GOMF_TELOMERASE_ACTIVITY,unknown,"DNA Repair, Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress"
GOMF_TRANSLATION_ELONGATION_FACTOR_ACTIVITY,Proteostasis,"Proteostasis, RNA Spliceosome, Synapse, Apoptosis, Mitochondrial Metabolism"
GOMF_PROTEIN_DISULFIDE_ISOMERASE_ACTIVITY,unknown,"Proteostasis, Endolysosome, Oxidative Stress, Apoptosis, Structural Stabilization"
GOMF_G_PROTEIN_ACTIVITY,unknown,"Synapse, Immune Response, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress"
GOMF_RNA_DIRECTED_DNA_POLYMERASE_ACTIVITY,Cell Cycle,"RNA Spliceosome, DNA Repair, Proteostasis, Cell Cycle, Epigenetic"
GOMF_ADENYLATE_KINASE_ACTIVITY,unknown,"Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Cell Cycle"
GOMF_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY,unknown,"Lipid Metabolism, Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress"
GOMF_ATP_DEPENDENT_PEPTIDASE_ACTIVITY,unknown,"Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism, DNA Repair"
GOMF_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_5_PHOSPHATASE_ACTIVITY,Lipid Metabolism,"Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis"
GOMF_DNA_ENDONUCLEASE_ACTIVITY,unknown,"DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Oxidative Stress"
GOMF_BETA_N_ACETYLHEXOSAMINIDASE_ACTIVITY,unknown,"Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Immune Response"
GOMF_PHOSPHOLIPASE_D_ACTIVITY,Lipid Metabolism,"Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Immune Response"
GOMF_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_INHIBITOR_ACTIVITY,Cell Cycle,"Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Immune Response"
GOMF_COMPLEMENT_RECEPTOR_ACTIVITY,Immune Response,"Immune Response, Vasculature, Endolysosome, Structural Stabilization, Oxidative Stress"
GOMF_G_PROTEIN_COUPLED_OPIOID_RECEPTOR_ACTIVITY,unknown,"Synapse, Immune Response, Proteostasis, Oxidative Stress, Structural Stabilization"
GOMF_SIGNAL_RECOGNITION_PARTICLE_BINDING,Proteostasis,"Proteostasis, RNA Spliceosome, Endolysosome, Autophagy, Structural Stabilization"
GOMF_GDP_DISSOCIATION_INHIBITOR_ACTIVITY,unknown,"Metal Binding and Homeostasis, Lipid Metabolism, Immune Response, Synapse, Structural Stabilization"
GOMF_SNAP_RECEPTOR_ACTIVITY,unknown,"Synapse, Structural Stabilization, Immune Response, Proteostasis, Endolysosome"
GOMF_STEROID_BINDING,Lipid Metabolism,"Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Epigenetic"
GOMF_VITAMIN_D_BINDING,unknown,"Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Immune Response, Oxidative Stress"
GOMF_ATP_DEPENDENT_ACTIVITY_ACTING_ON_DNA,unknown,"DNA Repair, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Epigenetic"
GOMF_CYSTEINE_TYPE_PEPTIDASE_ACTIVITY,Proteostasis,"Proteostasis, Apoptosis, Autophagy, Immune Response, Endolysosome"
GOMF_NUCLEOTIDASE_ACTIVITY,unknown,"Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, DNA Repair, Autophagy"
GOMF_PROTEIN_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,unknown,"Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization"
GOMF_COA_TRANSFERASE_ACTIVITY,unknown,"Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Endolysosome"
GOMF_FUCOSYLTRANSFERASE_ACTIVITY,unknown,"Lipid Metabolism, Endolysosome, Proteostasis, Immune Response, Structural Stabilization"
GOMF_JUN_KINASE_BINDING,unknown,"Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Structural Stabilization"
GOMF_MICROTUBULE_SEVERING_ATPASE_ACTIVITY,unknown,"Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle"
GOMF_CROSSOVER_JUNCTION_DNA_ENDONUCLEASE_ACTIVITY,DNA Repair,"DNA Repair, RNA Spliceosome, Proteostasis, Epigenetic, Autophagy"
GOMF_CHOLESTEROL_BINDING,Lipid Metabolism,"Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Vasculature, Oxidative Stress"
GOMF_RNA_POLYMERASE_II_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_ACTIVITY,unknown,"RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Synapse"
GOMF_PHOSPHATIDYLINOSITOL_3_4_5_TRISPHOSPHATE_3_PHOSPHATASE_ACTIVITY,Lipid Metabolism,"Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy"
GOMF_METALLOCHAPERONE_ACTIVITY,Metal Binding and Homeostasis,"Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress"
GOMF_COPPER_CHAPERONE_ACTIVITY,Metal Binding and Homeostasis,"Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Immune Response, Endolysosome"
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_SULFUR_GROUP_OF_DONORS_DISULFIDE_AS_ACCEPTOR,unknown,"Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, APP Metabolism"
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_HEME_GROUP_OF_DONORS,Oxidative Stress,"Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism"
GOMF_TRANSKETOLASE_OR_TRANSALDOLASE_ACTIVITY,unknown,"Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, DNA Repair"
GOMF_INTRAMOLECULAR_TRANSFERASE_ACTIVITY,unknown,"Proteostasis, RNA Spliceosome, DNA Repair, Autophagy, Synapse"
GOMF_ACID_THIOL_LIGASE_ACTIVITY,unknown,"Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy"
GOMF_ENDODEOXYRIBONUCLEASE_ACTIVITY_PRODUCING_5_PHOSPHOMONOESTERS,unknown,"DNA Repair, Proteostasis, RNA Spliceosome, Oxidative Stress, Endolysosome"
GOMF_DNA_ENDONUCLEASE_ACTIVITY_PRODUCING_3_PHOSPHOMONOESTERS,unknown,"DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Oxidative Stress"
GOMF_ENDONUCLEASE_ACTIVITY_ACTIVE_WITH_EITHER_RIBO_OR_DEOXYRIBONUCLEIC_ACIDS_AND_PRODUCING_3_PHOSPHOMONOESTERS,unknown,"DNA Repair, RNA Spliceosome, Proteostasis, Oxidative Stress, Endolysosome"
GOMF_TBP_CLASS_PROTEIN_BINDING,unknown,"Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, Structural Stabilization"
GOMF_SINGLE_STRANDED_DNA_HELICASE_ACTIVITY,DNA Repair,"DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Mitochondrial Metabolism"
GOMF_WNT_PROTEIN_BINDING,unknown,"Synapse, Immune Response, Structural Stabilization, Epigenetic, Proteostasis"
GOMF_ALKANE_1_MONOOXYGENASE_ACTIVITY,unknown,"Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Endolysosome"
GOMF_GDP_BINDING,unknown,"Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse"
GOMF_RRNA_BINDING,unknown,"RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy"
GOMF_POTASSIUM_CHANNEL_INHIBITOR_ACTIVITY,Synapse,"Synapse, Structural Stabilization, Immune Response, Oxidative Stress, Mitochondrial Metabolism"
GOMF_MANGANESE_ION_BINDING,Metal Binding and Homeostasis,"Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Mitochondrial Metabolism, APP Metabolism"
GOMF_PROTEIN_SERINE_THREONINE_KINASE_INHIBITOR_ACTIVITY,unknown,"Proteostasis, Apoptosis, Immune Response, Structural Stabilization, DNA Repair"
GOMF_HSP70_PROTEIN_BINDING,unknown,"Proteostasis, Synapse, Oxidative Stress, Autophagy, Immune Response"
GOMF_CGMP_BINDING,unknown,"Metal Binding and Homeostasis, Lipid Metabolism, Vasculature, Immune Response, Synapse"
GOMF_BETA_2_MICROGLOBULIN_BINDING,unknown,"Metal Binding and Homeostasis, Immune Response, Lipid Metabolism, Endolysosome, Proteostasis"
GOMF_MISMATCHED_DNA_BINDING,DNA Repair,"DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Oxidative Stress"
GOMF_HEAT_SHOCK_PROTEIN_BINDING,unknown,"Proteostasis, Oxidative Stress, Apoptosis, Immune Response, Structural Stabilization"
GOMF_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_BINDING,unknown,"Proteostasis, Synapse, Immune Response, Structural Stabilization, Epigenetic"
GOMF_PEPTIDYL_PROLINE_4_DIOXYGENASE_ACTIVITY,unknown,"Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Epigenetic, DNA Repair"
GOMF_MISMATCH_REPAIR_COMPLEX_BINDING,unknown,"DNA Repair, Proteostasis, RNA Spliceosome, Cell Cycle, Epigenetic"
GOMF_MUTSALPHA_COMPLEX_BINDING,unknown,"DNA Repair, Proteostasis, RNA Spliceosome, Epigenetic, Oxidative Stress"
GOMF_STEROL_BINDING,Lipid Metabolism,"Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome"
GOMF_MEMBRANE_INSERTASE_ACTIVITY,unknown,"Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism"
GOMF_AMIDE_BINDING,unknown,"Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress"
GOMF_DYNACTIN_BINDING,unknown,"Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy"
GOMF_CHONDROITIN_SULFOTRANSFERASE_ACTIVITY,unknown,"Lipid Metabolism, Structural Stabilization, Endolysosome, Proteostasis, Myelination"
GOMF_BOX_H_ACA_SNORNA_BINDING,unknown,"RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy"
GOMF_PROTEASOME_ACTIVATING_ACTIVITY,Proteostasis,"Proteostasis, Autophagy, DNA Repair, Immune Response, Oxidative Stress"
GOMF_K48_LINKED_POLYUBIQUITIN_MODIFICATION_DEPENDENT_PROTEIN_BINDING,Proteostasis,"Proteostasis, DNA Repair, Autophagy, Synapse, Epigenetic"
GOMF_PEPTIDE_BINDING,unknown,"Metal Binding and Homeostasis, Proteostasis, Synapse, Immune Response, Structural Stabilization"
GOMF_WNT_RECEPTOR_ACTIVITY,unknown,"Synapse, Immune Response, Structural Stabilization, Epigenetic, Mitochondrial Metabolism"
GOMF_RIBOSOME_BINDING,Proteostasis,"Proteostasis, RNA Spliceosome, Structural Stabilization, DNA Repair, Autophagy"
GOMF_KINETOCHORE_BINDING,unknown,"Cell Cycle, Structural Stabilization, DNA Repair, Mitochondrial Metabolism, Proteostasis"
GOMF_LEUCINE_ZIPPER_DOMAIN_BINDING,unknown,"Proteostasis, Synapse, Structural Stabilization, Immune Response, Epigenetic"
GOMF_PROTEIN_FOLDING_CHAPERONE,Proteostasis,"Proteostasis, Autophagy, Synapse, Structural Stabilization, Immune Response"
GOMF_SMAD_BINDING,unknown,"Proteostasis, Synapse, Immune Response, Epigenetic, Structural Stabilization"
GOMF_SPHINGOLIPID_BINDING,Lipid Metabolism,"Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Immune Response"
GOMF_VIRION_BINDING,unknown,"Immune Response, Endolysosome, Oxidative Stress, Lipid Metabolism, Apoptosis"
GOMF_ER_RETENTION_SEQUENCE_BINDING,unknown,"Proteostasis, Endolysosome, RNA Spliceosome, Autophagy, Structural Stabilization"
GOMF_GLYCINE_N_ACYLTRANSFERASE_ACTIVITY,unknown,"Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome"
GOMF_FLAP_ENDONUCLEASE_ACTIVITY,unknown,"DNA Repair, Proteostasis, RNA Spliceosome, Oxidative Stress, Autophagy"
GOMF_NUCLEAR_ANDROGEN_RECEPTOR_BINDING,unknown,"Lipid Metabolism, Immune Response, Epigenetic, Proteostasis, Mitochondrial Metabolism"
GOMF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING,Lipid Metabolism,"Lipid Metabolism, Endolysosome, Vasculature, Metal Binding and Homeostasis, Immune Response"
GOMF_GDP_DISSOCIATION_INHIBITOR_BINDING,unknown,"Metal Binding and Homeostasis, Lipid Metabolism, Synapse, Proteostasis, Endolysosome"
GOMF_UNFOLDED_PROTEIN_BINDING,Proteostasis,"Proteostasis, Autophagy, Endolysosome, DNA Repair, Oxidative Stress"
GOMF_CHAPERONE_BINDING,Proteostasis,"Proteostasis, Autophagy, Synapse, Endolysosome, Structural Stabilization"
GOMF_ATPASE_BINDING,unknown,"Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Structural Stabilization, DNA Repair"
GOMF_MISFOLDED_PROTEIN_BINDING,Proteostasis,"Proteostasis, Autophagy, Oxidative Stress, Endolysosome, Apoptosis"
GOMF_ATPASE_REGULATOR_ACTIVITY,unknown,"Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome"
GOMF_CHROMO_SHADOW_DOMAIN_BINDING,unknown,"Epigenetic, Proteostasis, Structural Stabilization, RNA Spliceosome, DNA Repair"
GOMF_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING,Lipid Metabolism,"Lipid Metabolism, Endolysosome, Vasculature, Immune Response, Metal Binding and Homeostasis"
GOMF_NADPH_BINDING,unknown,"Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis"
GOMF_ADENYLYLTRANSFERASE_ACTIVITY,unknown,"Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Proteostasis, Lipid Metabolism"
GOMF_E_BOX_BINDING,Epigenetic,"Epigenetic, RNA Spliceosome, Proteostasis, Structural Stabilization, DNA Repair"
GOMF_CERAMIDE_BINDING,Lipid Metabolism,"Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Endolysosome, Proteostasis"
GOMF_STRUCTURAL_CONSTITUENT_OF_PRESYNAPTIC_ACTIVE_ZONE,Synapse,"Synapse, Structural Stabilization, Proteostasis, Immune Response, Myelination"
GOMF_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_PHOSPHATASE_ACTIVITY,Lipid Metabolism,"Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis"
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_DNA,unknown,"DNA Repair, Cell Cycle, Epigenetic, Proteostasis, RNA Spliceosome"
GOMF_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_BINDING,unknown,"RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Synapse"
GOMF_PROTEIN_TRANSPORTER_ACTIVITY,unknown,"Endolysosome, Proteostasis, Synapse, Structural Stabilization, Autophagy"
GOMF_DNA_DAMAGE_SENSOR_ACTIVITY,unknown,"DNA Repair, Oxidative Stress, Proteostasis, Cell Cycle, Epigenetic"
GOMF_ATP_DEPENDENT_PROTEIN_FOLDING_CHAPERONE,Proteostasis,"Proteostasis, Autophagy, Mitochondrial Metabolism, Synapse, Structural Stabilization"
GOMF_CATECHOLAMINE_BINDING,unknown,"Synapse, Immune Response, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization"
GOMF_OLEATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,Lipid Metabolism,"Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress"
GOMF_STEROID_HORMONE_BINDING,Lipid Metabolism,"Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Immune Response, Mitochondrial Metabolism"
GOMF_UBIQUITIN_SPECIFIC_PROTEASE_BINDING,Proteostasis,"Proteostasis, DNA Repair, Autophagy, Immune Response, Epigenetic"
GOMF_SPLICING_FACTOR_BINDING,RNA Spliceosome,"RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Synapse"
